timestamp;pv1;load1;wind
2023-01-03 06:45:00;0.0000;0.4480;0.0000
2023-01-03 07:00:00;0.0000;0.4080;0.2685
2023-01-03 07:15:00;0.0000;0.3780;0.0000
2023-01-03 07:30:00;0.0000;0.3480;0.1301
2023-01-03 07:45:00;0.0003;0.3180;0.1431
2023-01-03 08:00:00;0.0014;0.2880;0.3654
2023-01-03 08:15:00;0.0032;0.3450;0.2673
2023-01-03 08:30:00;0.0043;0.4020;0.7508
2023-01-03 08:45:00;0.0053;0.4590;0.8446
2023-01-03 09:00:00;0.0104;0.5160;0.0000
2023-01-03 09:15:00;0.0215;0.5250;0.4522
2023-01-03 09:30:00;0.0237;0.5340;0.0682
2023-01-03 09:45:00;0.0216;0.5430;0.0000
2023-01-03 10:00:00;0.0174;0.5520;0.0000
2023-01-03 10:15:00;0.0173;0.5970;0.2132
2023-01-03 10:30:00;0.0212;0.6420;1.0112
2023-01-03 10:45:00;0.0201;0.6870;0.4521
2023-01-03 11:00:00;0.0282;0.7320;0.0000
2023-01-03 11:15:00;0.0330;0.6160;0.0000
2023-01-03 11:30:00;0.0720;0.5000;0.0000
2023-01-03 11:45:00;0.1142;0.3840;0.1851
2023-01-03 12:00:00;0.1025;0.2680;0.5290
2023-01-03 12:15:00;0.0961;0.2620;0.3200
2023-01-03 12:30:00;0.0901;0.2560;0.5324
2023-01-03 12:45:00;0.1006;0.2500;0.2416
2023-01-03 13:00:00;0.0795;0.2440;0.0779
2023-01-03 13:15:00;0.0586;0.3990;0.5059
2023-01-03 13:30:00;0.0463;0.5540;0.6431
2023-01-03 13:45:00;0.0594;0.7090;0.0000
2023-01-03 14:00:00;0.0547;0.8640;0.0136
2023-01-03 14:15:00;0.0348;0.9950;0.0392
2023-01-03 14:30:00;0.0291;1.1260;0.3758
2023-01-03 14:45:00;0.0213;1.2570;0.0765
2023-01-03 15:00:00;0.0192;1.3880;0.5191
2023-01-03 15:15:00;0.0138;1.3340;0.0000
2023-01-03 15:30:00;0.0074;1.2800;0.5401
2023-01-03 15:45:00;0.0048;1.2260;0.7355
2023-01-03 16:00:00;0.0007;1.1720;1.0173
2023-01-03 16:15:00;0.0000;1.1960;0.5715
2023-01-03 16:30:00;0.0000;1.2200;1.4860
2023-01-03 16:45:00;0.0000;1.2440;1.1365
2023-01-03 17:00:00;0.0000;1.2680;0.8988
2023-01-03 17:15:00;0.0000;1.2090;0.1913
2023-01-03 17:30:00;0.0000;1.1500;0.7986
2023-01-03 17:45:00;0.0000;1.0910;0.0000
2023-01-03 18:00:00;0.0000;1.0320;0.6330
2023-01-03 18:15:00;0.0000;0.9090;0.0000
2023-01-03 18:30:00;0.0000;0.7860;1.1735
2023-01-03 18:45:00;0.0000;0.6630;1.2011
2023-01-03 19:00:00;0.0000;0.5400;0.0000
2023-01-03 19:15:00;0.0000;0.5290;0.0000
2023-01-03 19:30:00;0.0000;0.5180;0.1462
2023-01-03 19:45:00;0.0000;0.5070;1.2675
