p_pv;p_vue;p_ue;p_ut;p_ut_tot;t_ext
0;0.168645161;0;0;0;5.27
0;0.204870968;0;0;0;4.99
0;0.265064516;0;3.8685;154.74;4.71
0;0.322387097;0;4.0055;160.22;4.89
0;0.441516129;0;4.14275;165.71;4.92
0;0.444967742;0;4.19675;167.87;4.32
0;0.304806452;0;4.2485;169.94;3
0;0.217677419;0;0;0;1.9
0;0.143709677;0;0;0;0.67
0;0.13383871;0;0;0;-0.55
0;0.129129032;0;0;0;-1.64
0;0.137225806;0;0;0;-1.83
0;0.131516129;0;0;0;-2.02
0;0.144870968;0;4.761;190.44;-2.18
0;0.167096774;0;4.45525;178.21;-2.29
0;0.204612903;0;4.1495;165.98;-2.18
0.2717325;0.271064516;0;3.8415;153.66;-1.47
0.471975;0.21716129;0;3.374;134.96;0.54
0.6079125;0.215225806;0;0;0;5.51
0.6624525;0.273709677;0;0;0;8.16
0.664125;0.290709677;0;2.339975;93.599;9.52
0.5947875;0.261806452;0;2.238825;89.553;10.15
0.4620675;0.253387097;0;2.137675;85.507;9.88
0.269265;0.306225806;0;2.47485;98.994;8.57
0;0.222225806;0;0;0;8.4
0;0.270709677;0;0;0;7.71
0;0.334645161;0;3.529;141.16;7.34
0;0.361193548;0;3.91125;156.45;6.63
0;0.400677419;0;4.29325;171.73;6.44
0;0.391258065;0;4.33825;173.53;6.25
0;0.284709677;0;4.3855;175.42;6.04
0;0.196387097;0;0;0;5.94
0;0.150193548;0;0;0;5.03
0;0.127645161;0;0;0;3.79
0;0.126193548;0;0;0;2.51
0;0.131903226;0;0;0;1.44
0;0.151129032;0;0;0;0.36
0;0.18283871;0;3.97875;159.15;-0.12
0;0.159548387;0;3.79425;151.77;0
0;0.230258065;0;3.61;144.4;1.62
0.308325;0.278903226;0;3.4235;136.94;2.2
0.47373;0.292451613;0;3.084;123.36;4.03
0.6087825;0.195032258;0;0;0;6.7
0.664365;0.200806452;0;0;0;7.7
0.6763275;0.256806452;0;2.456875;98.275;8.64
0.607485;0.239677419;0;2.5085;100.34;10.65
0.4641225;0.197870968;0;2.558;102.32;11.17
0.2684025;0.193193548;0;2.71975;108.79;10.84
0;0.21583871;0;0;0;9.75
0;0.224096774;0;0;0;7.55
0;0.332677419;0;3.1335;125.34;5.48
0;0.349645161;0;3.2235;128.94;6.26
0;0.353967742;0;3.31325;132.53;5.04
0;0.32183871;0;3.34475;133.79;3.24
0;0.246645161;0;3.37625;135.05;2.12
0;0.189322581;0;0;0;1.28
0;0.163322581;0;0;0;0.6
0;0.147612903;0;0;0;0.17
0;0.124;0;0;0;-0.45
0;0.130516129;0;0;0;-1.02
0;0.147935484;0;0;0;-1.26
0;0.158677419;0;3.22125;128.85;-1.17
0;0.154354839;0;3.12675;125.07;-1.3
0;0.278419355;0;3.03225;121.29;-0.49
0.10965;0.295419355;0;2.938;117.52;0
0.124545;0.229322581;0;2.812;112.48;2.94
0.10821;0.236419355;0;0;0;7.17
0.127545;0.228225806;0;0;0;9.04
0.13443;0.291354839;0;2.5895;103.58;9.82
0.1266975;0.273419355;0;2.61875;104.75;9.94
0.12417;0.244580645;0;2.64575;105.83;9.54
0.0834075;0.24383871;0;2.902;116.08;8.8
0;0.220290323;0;0;0;6.97
0;0.270096774;0;0;0;5.27
0;0.287967742;0;3.601;144.04;4.5
0;0.387548387;0;3.783;151.32;5.9
0;0.336548387;0;3.9675;158.7;5.15
0;0.448129032;0;4.037;161.48;4.84
0;0.261483871;0;4.1045;164.18;4.01
0;0.250645161;0;0;0;3.21
0;0.191258065;0;0;0;2.46
0;0.142419355;0;0;0;2.1
0;0.160870968;0;0;0;1.22
0;0.134967742;0;0;0;0.21
0;0.146870968;0;0;0;0.02
0;0.142903226;0;4.1675;166.7;-0.12
0;0.167806452;0;3.93825;157.53;-1.24
0;0.24116129;0;3.709;148.36;-0.4
0.025965;0.194806452;0;3.47975;139.19;-0.04
0.09687;0.236709677;0;3.192;127.68;3.63
0.100515;0.256258065;0;0;0;7.79
0.0962475;0.194419355;0;0;0;9.78
0.0928275;0.224193548;0;2.684;107.36;10.89
